time;send_diff;receive_diff;;;
164591,4621;10,194285;10,194161;;;
164601,6567;10,194249;10,194557;;;
164611,8519;10,194114;10,195193;;;
164622,048;10,194113;10,196151;;;
164632,2394;10,194194;10,191378;;;
164642,4356;10,194138;10,196256;;;
164652,631;10,196326;10,195352;;;
164662,8255;10,1944;10,194542;;;
164673,0187;10,19421;10,193158;;;
164683,2132;10,194278;10,194494;;;
164693,4092;10,194679;10,19601;;;
164703,6038;10,194331;10,19464;;;
164713,8015;10,194241;10,197627;;;
164723,9887;10,194371;10,187275;;;
164734,1879;10,194044;10,199128;;;
164744,3828;10,196274;10,194958;;;
164754,5767;10,19417;10,193839;;;
164764,7702;10,194157;10,193497;;;
164774,9641;10,194067;10,193969;;;
164785,1598;10,954575;10,195717;;;
164795,356;9,434288;10,196115;;;
164805,5523;10,194115;10,196346;;;
164815,7418;10,194152;10,18954;;;
164825,9382;10,19434;10,196382;;;
164836,1338;10,713515;10,195543;;;
164846,3275;9,676977;10,193707;;;
164856,5402;10,194188;10,212703;;;
164866,7152;10,194164;10,175057;;;
164876,9102;10,194699;10,194927;;;
164887,1057;10,455652;10,195528;;;
164897,3039;9,932949;10,198159;;;
164907,4941;10,194195;10,190254;;;
164917,6912;10,194365;10,197065;;;
164927,885;10,196793;10,193872;;;
164938,0797;10,469338;10,194675;;;
164948,2732;9,919065;10,19353;;;
164958,4684;10,194336;10,195104;;;
164968,6625;10,194289;10,194129;;;
164978,8569;10,194217;10,194417;;;
164989,053;10,194146;10,196076;;;
164999,2459;10,194282;10,192881;;;
165009,4422;10,194338;10,196326;;;
165019,6354;10,196052;10,193262;;;
165029,8294;10,194161;10,193958;;;
165040,0251;10,194303;10,195695;;;
165050,2218;10,194114;10,196743;;;
165060,4151;10,196859;10,193275;;;
165070,6101;10,194258;10,195025;;;
165080,8069;10,194338;10,196797;;;
165090,9988;10,194931;10,191856;;;
165101,1944;10,194376;10,195602;;;
165111,3901;10,195308;10,195709;;;
165121,5836;10,194092;10,193506;;;
165131,7776;10,194124;10,194011;;;
165141,9711;10,193981;10,193462;;;
165152,166;10,98364;10,194942;;;
165162,3624;9,404691;10,196395;;;
165172,5579;10,194126;10,195476;;;
165182,7501;10,194907;10,192164;;;
165192,9445;10,194399;10,194452;;;
165203,1391;10,741917;10,194587;;;
165213,3345;9,647808;10,195417;;;
165223,5283;10,194234;10,193829;;;
165233,7219;10,194176;10,193557;;;
165243,9161;10,194132;10,194151;;;
165254,1121;10,4802;10,196066;;;
165264,3088;9,908136;10,19664;;;
165274,4992;10,194659;10,190485;;;
165284,6956;10,194622;10,196381;;;
165294,8899;10,19558;10,194237;;;
165305,0851;10,701703;10,195266;;;
165315,2789;9,686653;10,193741;;;
165325,4723;10,194057;10,193459;;;
165335,6675;10,194298;10,19514;;;
165345,862;10,194157;10,194565;;;
165356,0607;10,194148;10,19864;;;
165366,248;10,194225;10,187287;;;
165376,4455;10,193997;10,197509;;;
165386,6398;10,195996;10,194336;;;
165396,8352;10,19426;10,195384;;;
165407,0291;10,19397;10,193893;;;
165417,2266;10,193991;10,197499;;;
165427,4183;10,194578;10,191679;;;
165437,6111;10,194237;10,19283;;;
165447,8056;10,194163;10,194502;;;
165458;10,194368;10,194444;;;
165468,1978;10,194368;10,197808;;;
165478,3946;10,196087;10,196773;;;
165488,5856;10,194244;10,191006;;;
165498,7787;10,194058;10,193059;;;
165508,9731;10,194068;10,194388;;;
165519,1695;10,974987;10,196416;;;
165529,3626;9,413492;10,193098;;;
165539,5571;10,194198;10,194566;;;
165549,7503;10,194166;10,193199;;;
165559,9464;10,19434;10,196079;;;
165570,1407;10,731724;10,194281;;;
165580,3351;9,658426;10,194378;;;
165590,5294;10,194209;10,194288;;;
165600,7236;10,194275;10,194262;;;
165610,918;10,194115;10,19432;;;
165621,1121;10,468165;10,194165;;;
165631,3072;9,920088;10,195044;;;
165641,5007;10,194175;10,193521;;;
165651,696;10,194194;10,195317;;;
165661,8899;10,194962;10,193906;;;
165672,0854;10,446861;10,195458;;;
165682,28;9,941916;10,194631;;;
165692,4729;10,194168;10,192919;;;
165702,6675;10,194159;10,194573;;;
165712,863;10,194316;10,195511;;;
165723,058;10,194353;10,195038;;;
165733,2512;10,194145;10,193129;;;
165743,4466;10,194115;10,195394;;;
165753,6416;10,196019;10,195012;;;
165763,838;10,194252;10,196443;;;
165774,0304;10,194128;10,192396;;;
165784,2235;10,194182;10,193073;;;
165794,4179;10,194227;10,194385;;;
165804,6141;10,194201;10,196219;;;
165814,8068;10,194592;10,192744;;;
165825,0015;10,194259;10,19466;;;
165835,1985;10,194459;10,19704;;;
165845,3927;10,196245;10,19413;;;
165855,5863;10,194161;10,193622;;;
165865,7806;10,194151;10,194289;;;
165875,9752;10,194066;10,194601;;;
165886,17;10,960546;10,194858;;;
165896,3632;9,427804;10,193123;;;
165906,5581;10,194809;10,194922;;;
165916,7525;10,194139;10,194425;;;
165926,9495;10,194212;10,196966;;;
165937,1423;10,718986;10,192823;;;
165947,3374;9,671493;10,19513;;;
165957,5323;10,194271;10,194831;;;
165967,7273;10,194401;10,195033;;;
165977,9246;10,194167;10,197327;;;
165988,1147;10,463288;10,190083;;;
165998,3093;9,925494;10,194597;;;
166008,5049;10,194209;10,195625;;;
166018,7002;10,194317;10,195299;;;
166028,8941;10,196124;10,193917;;;
166039,0887;10,539526;10,194532;;;
166049,2841;9,849026;10,195412;;;
166059,4782;10,194119;10,194124;;;
166069,6795;10,194132;10,201336;;;
166079,8678;10,194204;10,188273;;;
166090,0617;10,194933;10,193841;;;
166100,2551;10,19421;10,193415;;;
166110,4517;10,194274;10,196667;;;
166120,6463;10,195995;10,194613;;;
166130,841;10,194433;10,194607;;;
166141,0342;10,194199;10,193278;;;
166151,2285;10,194208;10,194295;;;
166161,4236;10,194177;10,195064;;;
166171,6178;10,194148;10,194232;;;
166181,8118;10,19475;10,193972;;;
166192,0063;10,194163;10,194467;;;
166202,2042;10,194362;10,197979;;;
166212,4004;10,196313;10,196133;;;
166222,5915;10,194417;10,191107;;;
166232,7857;10,194144;10,194193;;;
166242,981;10,194155;10,195341;;;
166253,1757;10,979118;10,194643;;;
166263,3684;9,409169;10,192698;;;
166273,5632;10,194664;10,194859;;;
166283,7582;10,194202;10,195;;;
166293,9549;10,194161;10,196644;;;
166304,1487;10,738184;10,193818;;;
166314,3422;9,65232;10,193498;;;
166324,5375;10,194098;10,195317;;;
166334,7319;10,194198;10,194404;;;
166344,9602;10,194394;10,228317;;;
166355,1199;10,48014;10,159691;;;
166365,315;9,908678;10,195048;;;
166375,5094;10,19425;10,194461;;;
166385,7051;10,194233;10,19572;;;
166395,8998;10,19589;10,19471;;;
166406,0936;10,727339;10,193723;;;
166416,2888;9,661387;10,195209;;;
166426,4829;10,194102;10,194125;;;
166436,6763;10,194244;10,193391;;;
166446,8714;10,194128;10,195122;;;
166457,0658;10,19502;10,194421;;;
166467,2603;10,194414;10,194496;;;
166477,4554;10,194222;10,195037;;;
166487,651;10,194734;10,19565;;;
166497,845;10,194648;10,193977;;;
166508,0392;10,195069;10,194161;;;
166518,2337;10,194298;10,19456;;;
166528,4288;10,194344;10,195084;;;
166538,6233;10,194141;10,194541;;;
166548,8182;10,194871;10,194851;;;
166559,0115;10,194224;10,193327;;;
166569,2078;10,194316;10,19628;;;
166579,4041;10,196045;10,196269;;;
